Site,SubPop,Egg,Fry,Par,PreSmolt,"subyearling chinook, NA for steelhead",yearling chinook or Steelhead,Adult_Y0,Adult_Y1,Adult_Y2,Adult_Y3,Adult_Y4,Adult_Y5,Pre.SmoltY1,Pre.SmoltY2,Pre.SmoltY3,Pre.SmoltY4,Pre.SmoltY5
Hayden Cr.,Natural,134965,16472,7957,3009,186,111,1766,1209,302,75,0,0,586,16,0,0,0
Hayden Cr.,H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayden Cr.,N.H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayden Cr.,H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayden Cr.,N-N.H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayden Cr.,N-H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayden Cr.,N.H3-H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayden Cr.,N.H3-H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayden Cr.,H3-H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayden Cr.,H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayden Cr.,N.H3-N.H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
